,nrOfConversations,longestConversation,longestConversationInDays,averageConversationLength,averageConversationLengthInDays,medianConversationLength,medianConversationLengthInDays,nrOfOneMessageConversations,percentOfOneMessageConversations,nrOfGhostingsAfterInitialMessage,ageFilterMin,ageFilterMax,appOpens,matches,messagesReceived,messagesSent,swipeLikes,swipePasses,birthYear,createYear,F,M,bisexual,gay,straight,swipeRatio,successRate,accountAge,averagenrofConversations_annual,averagenrofOneMessageConversations_annual,averageMatches_annual,totalSwipes,averageSwipes_annual,averageappOpens_annual,messagesRatio,averagenrOfGhostingsAfterInitialMessage_annual,ghostingPercentage,ageFilterRange,swipesPerappOpen
54,1116,1100,685.0993171296296,26.22132616487455,13.242517122577333,7,0.0734837962962963,230,20.60931899641577,51,18,1000,33388,6076,24091,28361,60453,13249,1993,2016,0,1,0,0,1,4.562834930938184,0.10050783253105719,6,186.0,38.333333333333336,1012.6666666666666,73702,12283.666666666666,5564.666666666667,0.8494411339515532,8.5,0.0456989247311828,982,2.2074397987300824
55,91,24,523.9455092592592,3.4835164835164836,34.59632224257224,1,0.0,41,45.05494505494506,9,18,29,7884,210,304,317,83555,132416,1993,2015,0,1,0,0,1,0.6310038061865636,0.002513314583208665,7,13.0,5.857142857142857,30.0,215971,30853.0,1126.2857142857142,0.9589905362776026,1.2857142857142858,0.0989010989010989,11,27.393581938102486
57,521,110,515.5373842592593,3.7735124760076775,4.4975108409753295,1,0.0,101,19.385796545105567,233,22,40,6309,2283,2437,1991,12130,45789,1998,2017,0,1,0,1,0,0.26491078643342286,0.18821104699093158,5,104.2,20.2,456.6,57919,11583.8,1261.8,1.2240080361627323,46.6,0.4472168905950096,18,9.180377238865113
58,77,240,418.9791898148148,13.74025974025974,19.787561928811943,3,0.04417824074074074,23,29.87012987012987,2,20,1000,1687,177,816,878,8311,12641,1996,2016,0,1,0,0,1,0.6574638082430188,0.02129707616411984,6,12.833333333333334,3.8333333333333335,29.5,20952,3492.0,281.1666666666667,0.929384965831435,0.3333333333333333,0.025974025974025976,980,12.419679905157084
60,26,21,68.69616898148148,4.653846153846154,3.5768509615384616,2,0.16983796296296297,5,19.230769230769234,7,22,36,645,42,37,35,1964,15753,1987,2020,0,1,0,0,1,0.12467466514314733,0.021384928716904276,2,13.0,2.5,21.0,17717,8858.5,322.5,1.0571428571428572,3.5,0.2692307692307692,14,27.468217054263565
61,1849,31,93.94880787037037,1.3931855056787452,0.9306559288804761,1,0.0,928,50.18929150892374,516,18,34,6864,783,1399,1231,39952,4402,2000,2020,0,1,0,0,1,9.07587460245343,0.01959851822186624,2,924.5,464.0,391.5,44354,22177.0,3432.0,1.1364744110479286,258.0,0.27906976744186046,16,6.461829836829837
64,234,84,248.43162037037038,4.914529914529915,3.315027748100664,1,0.0,61,26.06837606837607,81,18,40,2437,268,934,934,3722,5181,1990,2014,0,1,0,0,1,0.7183941324068712,0.07200429876410532,8,29.25,7.625,33.5,8903,1112.875,304.625,1.0,10.125,0.34615384615384615,22,3.6532622076323347
66,12,5,0.7946643518518518,1.25,0.07354648919753086,1,0.0,4,33.33333333333333,5,23,32,682,33,19,15,4296,27997,1993,2020,0,1,0,0,1,0.15344501196556773,0.007681564245810056,2,6.0,2.0,16.5,32293,16146.5,341.0,1.2666666666666666,2.5,0.4166666666666667,9,47.35043988269795
69,12,31,4.806307870370371,8.833333333333334,0.6804272762345679,4,0.09068287037037037,3,25.0,0,19,26,103,22,45,23,33,47,1997,2018,0,1,0,0,1,0.7021276595744681,0.6666666666666666,4,3.0,0.75,5.5,80,20.0,25.75,1.9565217391304348,0.0,0.0,7,0.7766990291262136
70,253,192,135.6140162037037,9.466403162055336,2.5670625182989295,1,0.0,109,43.08300395256917,26,22,28,1102,326,615,627,8205,9046,1994,2021,0,1,0,0,1,0.9070307318151669,0.039731870810481414,1,253.0,109.0,326.0,17251,17251.0,1102.0,0.9808612440191388,26.0,0.10276679841897234,6,15.654264972776769
71,196,837,41.93239583333333,37.70918367346939,2.660086333144369,14,0.2097800925925926,30,15.306122448979592,12,32,45,7423,435,5423,6345,3397,99616,1981,2016,1,0,0,0,1,0.0341009476389335,0.1280541654400942,6,32.666666666666664,5.0,72.5,103013,17168.833333333332,1237.1666666666667,0.854688731284476,2.0,0.061224489795918366,13,13.877542772463963
73,122,38,145.99592592592592,5.491803278688525,2.9706862856709155,3,0.23206018518518517,40,32.78688524590164,1,20,28,1748,177,720,684,525,1399,1994,2020,0,1,0,0,1,0.37526804860614726,0.33714285714285713,2,61.0,20.0,88.5,1924,962.0,874.0,1.0526315789473684,0.5,0.00819672131147541,8,1.1006864988558351
74,20,54,13.906770833333333,8.5,1.52503125,4,0.07208333333333333,8,40.0,0,22,30,489,27,168,205,1062,121,1991,2021,0,1,0,0,1,8.776859504132231,0.025423728813559324,1,20.0,8.0,27.0,1183,1183.0,489.0,0.8195121951219512,0.0,0.0,8,2.4192229038854807
